,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1007","AK Barrow 4 ENE","20020810","NOAA (CMDL Observatory)","27516"
"1007","AK Barrow 4 ENE","20050822","Barrow Obsv., NOAA Earth Systems Res. Lab., Global Mon. Div.",
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1798","AK Cordova 14 ESE","20170505","Eyak Corporation, Cordova","96405"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1793","AK Deadhorse 3 S","20140520","AK Department of Natural Resources, Haul Road)","26565"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1794","AK Denali 27 N","20150312","NPS, Denali National Park (Wonder Lake Campground Site)","96408"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1008","AK Fairbanks 11 NE","20020809","NOAA / NESDIS (FCDAS)","26494"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1790","AK Glennallen 64 N","20130530","BLM, Paxson Airport",
"1790","AK Glennallen 64 N","20130531",,"56401"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1780","AK Gustavus 2 NE","20110817","The Nature Conservancy, Gustavus Forelands Preserve","25380"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1791","AK Ivotuk 1 NNE","20140519","Arctic Slope Regional Corporation, Ivotuk Airstrip","26564"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1753","AK Kenai 29 ENE","20100817","Kenai National Wildlife Refuge (Kenai Moose Research Center)","26563"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1788","AK King Salmon 42 SE","20120619","NPS, Katmai National Park (Contact Creek)",
"1788","AK King Salmon 42 SE","20120620",,"25522"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1787","AK Metlakatla 6 S","20120619","NOAA, National Weather Service (Annette Island)",
"1787","AK Metlakatla 6 S","20120620",,"25381"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1691","AK Port Alsworth 1 SW","20090921","Lake Clark National Park",
"1691","AK Port Alsworth 1 SW","20090922",,"26562"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1754","AK Red Dog Mine 3 SSW","20100817","NANA Regional Corp Red Dog Mine","26655"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1792","AK Ruby 44 ESE","20140519","FWS, Nowitna National Wildlife Refuge (Lake Site)","96406"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1670","AK Sand Point 1 ENE","20090819","USGS Shumagin Magnetic Observatory","25630"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1795","AK Selawik 28 E","20150312","FWS, Selawik National Wildlife Refuge (Cabin Site)","96407"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1166","AK Sitka 1 NE","20050817","USGS  Sitka Magnetic Observatory","25379"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1143","AK St. Paul 4 NE","20050807","NOAA National Weather Service St Paul","25711"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1779","AK Tok 70 SE","20110817","FWS, Tetlin National Wildlife Refuge (Seaton Roadhouse site)","96404"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1799","AK Toolik Lake 5 ENE","20170717","BLM, Toolik Field Station",
"1799","AK Toolik Lake 5 ENE","20170720",,"96409"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
"1796","AK Yakutat 3 SSE","20160722","FS, Tongass National Forest (Yakutat)","25382"
,,"General Site Information",
"StationId","Station","Date","Name","WBAN Number"
