,City,Count
0,NC_Asheville_13_S,18
1,NC_Asheville_8_SSW,18
2,MT_Wolf_Point_34_NE,17
3,RI_Kingston_1_W,17
4,RI_Kingston_1_NW,17
5,NH_Durham_2_N,17
6,MT_Wolf_Point_29_ENE,17
7,NH_Durham_2_SSW,17
8,SC_Blackville_3_W,16
9,OK_Stillwater_2_W,16
10,AZ_Tucson_11_W,16
11,MS_Newton_5_ENE,16
12,IL_Champaign_9_SW,16
13,ME_Limestone_4_NNW,16
14,AZ_Elgin_5_S,16
15,SC_McClellanville_7_NE,16
16,NE_Lincoln_11_SW,16
17,OK_Stillwater_5_WNW,16
18,SD_Sioux_Falls_14_NNE,16
19,NE_Lincoln_8_ENE,16
20,ME_Old_Town_2_W,16
21,GA_Newton_11_SW,16
22,GA_Newton_8_W,16
23,TX_Monahans_6_ENE,15
24,WA_Darrington_21_NNE,15
25,OR_Riley_10_WSW,15
26,KY_Versailles_3_NNW,15
27,NM_Socorro_20_N,15
28,LA_Monroe_26_N,15
29,ID_Arco_17_SW,15
30,NE_Harrison_20_SSE,15
31,IL_Shabbona_5_NNE,15
32,MT_St._Mary_1_SSW,15
33,TX_Palestine_6_WNW,15
34,CO_Nunn_7_NNE,15
35,KS_Manhattan_6_SSW,15
36,LA_Lafayette_13_SE,15
37,ID_Murphy_10_W,15
38,OR_John_Day_35_WNW,15
39,WV_Elkins_21_ENE,15
40,CO_Boulder_14_W,15
41,MN_Goodridge_12_NNW,15
42,CA_Redding_12_WNW,15
43,GA_Watkinsville_5_SSE,14
44,GA_Brunswick_23_S,14
45,CO_Montrose_11_ENE,14
46,MI_Chatham_1_SE,14
47,ND_Medora_7_E,14
48,NV_Baker_5_W,14
49,CA_Merced_23_WSW,14
50,WI_Necedah_5_WNW,14
51,SD_Buffalo_13_ESE,14
52,OK_Goodwell_2_E,14
53,WY_Moose_1_NNE,14
54,KY_Bowling_Green_21_NNE,14
55,NE_Whitman_5_ENE,14
56,CA_Stovepipe_Wells_1_SW,14
57,NY_Ithaca_13_E,14
58,TX_Muleshoe_19_S,14
59,TN_Crossville_7_NW,14
60,TX_Edinburg_17_NNE,14
61,CO_La_Junta_17_WSW,14
62,IA_Des_Moines_17_E,14
63,ON_Egbert_1_W,14
64,VA_Cape_Charles_5_ENE,14
65,CO_Dinosaur_2_E,14
66,NM_Los_Alamos_13_W,14
67,NY_Millbrook_3_W,14
68,NV_Mercury_3_SSW,14
69,WY_Lander_11_SSE,14
70,AL_Selma_13_WNW,13
71,HI_Mauna_Loa_5_NNE,13
72,CO_Cortez_8_SE,13
73,FL_Titusville_7_E,13
74,AL_Gadsden_19_N,13
75,HI_Hilo_5_S,13
76,MO_Chillicothe_22_ENE,13
77,KS_Oakley_19_SSW,13
78,AR_Batesville_8_WNW,12
79,AL_Fairhope_3_NE,12
80,AL_Russellville_4_SSE,12
81,AL_Cullman_3_ENE,12
82,PA_Avondale_2_N,12
83,AL_Courtland_2_WSW,12
84,OR_Corvallis_10_SSW,12
85,AL_Scottsboro_2_NE,12
86,TX_Bronte_11_NNE,12
87,SD_Pierre_24_S,12
88,ND_Northgate_5_ESE,12
89,AL_Valley_Head_1_SSW,12
90,WA_Quinault_4_NE,12
91,SD_Aberdeen_35_WNW,11
92,AL_Muscle_Shoals_2_N,11
93,MO_Salem_10_W,11
94,UT_Torrey_7_E,11
95,FL_Sebring_23_SSE,11
96,VA_Charlottesville_2_SSE,11
97,IN_Bedford_5_WNW,11
98,OH_Coshocton_8_NNE,11
99,MI_Gaylord_9_SSW,11
100,MN_Sandstone_6_W,11
101,TX_Panther_Junction_2_N,11
102,TX_Port_Aransas_32_NNE,11
103,AL_Greensboro_2_WNW,11
104,WY_Sundance_8_NNW,11
105,FL_Everglades_City_5_NE,11
106,AL_Gainesville_2_NE,11
107,AL_Selma_6_SSE,11
108,UT_Brigham_City_28_WNW,11
109,MT_Dillon_18_WSW,11
110,WA_Spokane_17_SSW,11
111,NC_Durham_11_W,11
112,NM_Las_Cruces_20_N,11
113,AL_Clanton_2_NE,11
114,CA_Yosemite_Village_12_W,11
115,MO_Joplin_24_N,11
116,CA_Santa_Barbara_11_W,10
117,ND_Jamestown_38_WSW,10
118,OR_Coos_Bay_8_SW,10
119,CA_Bodega_6_WSW,10
120,MT_Lewistown_42_WSW,10
121,CA_Fallbrook_5_NE,10
122,AL_Troy_2_W,10
123,AZ_Williams_35_NNW,10
124,AZ_Yuma_27_ENE,10
125,AL_Thomasville_2_S,10
126,NV_Denio_52_WSW,10
127,AL_Brewton_3_NNE,10
128,MS_Holly_Springs_4_N,10
129,TX_Austin_33_NW,10
130,AL_Talladega_10_NNE,10
131,AL_Highland_Home_2_S,10
